pathway	p-value
MSigDB:NOJIMA_SFRP2_TARGETS_DN	8.058993622663615E-9
MSigDB:VANDESLUIS_COMMD1_TARGETS_GROUP_3_DN	8.080355772959755E-9
MSigDB:WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT	8.400705074267949E-9
MSigDB:CROONQUIST_NRAS_SIGNALING_UP	8.53015193492261E-9
MSigDB:BASSO_CD40_SIGNALING_UP	8.576001489246358E-9
MSigDB:GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_UP	8.661415197231459E-9
MSigDB:MATZUK_SPERMATOZOA	8.6629686862624E-9
MSigDB:HELLER_HDAC_TARGETS_SILENCED_BY_METHYLATION_DN	8.714330296693242E-9
MSigDB:PID_HIF1_TFPATHWAY	8.922771019902849E-9
MSigDB:MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	8.961913574648277E-9
MSigDB:REACTOME_FRS_MEDIATED_FGFR2_SIGNALING	9.051164697498312E-9
MSigDB:FARDIN_HYPOXIA_11	9.173453636009074E-9
MSigDB:WOOD_EBV_EBNA1_TARGETS_UP	9.176598257173208E-9
MSigDB:BIOCARTA_LDL_PATHWAY	9.225923033984062E-9
MSigDB:GAUSSMANN_MLL_AF4_FUSION_TARGETS_D_DN	9.445846487309443E-9
MSigDB:REACTOME_OTHER_INTERLEUKIN_SIGNALING	9.511190661460834E-9
MSigDB:REACTOME_PI_3K_CASCADE_FGFR4	9.865336816739273E-9
MSigDB:WP_ANGIOGENESIS	9.940517098332254E-9
MSigDB:REACTOME_FRS_MEDIATED_FGFR3_SIGNALING	1.0128797153201386E-8
MSigDB:BIOCARTA_PEPI_PATHWAY	1.0278281934669939E-8
MSigDB:SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4	1.0308258921994304E-8
MSigDB:TSUNODA_CISPLATIN_RESISTANCE_UP	1.0342157881315117E-8
MSigDB:REACTOME_PI_3K_CASCADE_FGFR1	1.0402758270930294E-8
MSigDB:REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS	1.058097268511315E-8
MSigDB:HUANG_DASATINIB_SENSITIVITY_UP	1.0592422549037252E-8
MSigDB:QI_PLASMACYTOMA_UP	1.0731904396147849E-8
MSigDB:KEGG_O_GLYCAN_BIOSYNTHESIS	1.0742177957940139E-8
MSigDB:BROWNE_HCMV_INFECTION_1HR_UP	1.0893472511657149E-8
MSigDB:MEISSNER_ES_ICP_WITH_H3K4ME3	1.0981087619393553E-8
MSigDB:LEE_LIVER_CANCER_MYC_DN	1.123534707921825E-8
MSigDB:MCBRYAN_TERMINAL_END_BUD_UP	1.1320541815868979E-8
MSigDB:YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_6	1.189222861292188E-8
MSigDB:LEE_NEURAL_CREST_STEM_CELL_DN	1.1949807515184938E-8
MSigDB:REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER	1.2207780911233328E-8
MSigDB:WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA	1.2633083600592607E-8
MSigDB:WP_LTF_DANGER_SIGNAL_RESPONSE_PATHWAY	1.2835899318595858E-8
MSigDB:CHIBA_RESPONSE_TO_TSA_DN	1.2871397089483948E-8
MSigDB:REACTOME_GDP_FUCOSE_BIOSYNTHESIS	1.3350382930912297E-8
MSigDB:MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN	1.3459863746317661E-8
MSigDB:KRIEG_HYPOXIA_NOT_VIA_KDM3A	1.359061455144319E-8
MSigDB:SHIN_B_CELL_LYMPHOMA_CLUSTER_5	1.3919155200003693E-8
MSigDB:BARRIER_COLON_CANCER_RECURRENCE_DN	1.4051954700728775E-8
MSigDB:BIOCARTA_ASBCELL_PATHWAY	1.4454079316827152E-8
MSigDB:HOLLEMAN_PREDNISOLONE_RESISTANCE_B_ALL_DN	1.4478132593116603E-8
MSigDB:REACTOME_SIGNALING_BY_PDGF	1.4490437682883846E-8
MSigDB:ZWANG_CLASS_2_TRANSIENTLY_INDUCED_BY_EGF	1.4590164014442562E-8
MSigDB:REACTOME_PI_3K_CASCADE_FGFR2	1.4921257638523132E-8
MSigDB:WOTTON_RUNX_TARGETS_DN	1.5033018529748135E-8
MSigDB:VISALA_AGING_LYMPHOCYTE_DN	1.530798493846589E-8
MSigDB:BLANCO_MELO_COVID19_SARS_COV_2_LOW_MOI_INFECTION_A594_ACE2_EXPRESSING_CELLS_UP	1.530986069574876E-8
MSigDB:CHIARADONNA_NEOPLASTIC_TRANSFORMATION_KRAS_CDC25_UP	1.5326720007129393E-8
MSigDB:WP_ANGIOTENSIN_II_RECEPTOR_TYPE_1_PATHWAY	1.5589379209346347E-8
MSigDB:PHONG_TNF_RESPONSE_NOT_VIA_P38	1.567545145023202E-8
MSigDB:REACTOME_PI_3K_CASCADE_FGFR3	1.568594533436924E-8
MSigDB:ONDER_CDH1_TARGETS_3_DN	1.6001588193907624E-8
MSigDB:JI_RESPONSE_TO_FSH_DN	1.6201361711099465E-8
MSigDB:MIKKELSEN_IPS_ICP_WITH_H3K27ME3	1.6393582145113486E-8
MSigDB:LIANG_HEMATOPOIESIS_STEM_CELL_NUMBER_LARGE_VS_TINY_UP	1.6844848630767474E-8
MSigDB:HALLMARK_APICAL_JUNCTION	1.7037340092118097E-8
MSigDB:WINTER_HYPOXIA_DN	1.738352674525232E-8
MSigDB:LA_MEN1_TARGETS	1.7615478401866003E-8
MSigDB:YAN_ESCAPE_FROM_ANOIKIS	1.8036648843037485E-8
MSigDB:REACTOME_HYALURONAN_BIOSYNTHESIS_AND_EXPORT	1.8795346542105535E-8
MSigDB:WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE	1.905955934218835E-8
MSigDB:NABA_SECRETED_FACTORS	1.9134100157490642E-8
MSigDB:GAUSSMANN_MLL_AF4_FUSION_TARGETS_E_UP	1.9296119530953482E-8
MSigDB:REACTOME_CHL1_INTERACTIONS	2.0238985329663663E-8
MSigDB:TIAN_TNF_SIGNALING_VIA_NFKB	2.0599790566106872E-8
MSigDB:WP_GLYCOLYSIS_AND_GLUCONEOGENESIS	2.0800319349518127E-8
MSigDB:GAUTSCHI_SRC_SIGNALING	2.122251642584347E-8
MSigDB:BIOCARTA_NKT_PATHWAY	2.1380181048223182E-8
MSigDB:POS_HISTAMINE_RESPONSE_NETWORK	2.1743646253868125E-8
MSigDB:ISHIDA_TARGETS_OF_SYT_SSX_FUSIONS	2.291138497557429E-8
MSigDB:BLALOCK_ALZHEIMERS_DISEASE_INCIPIENT_UP	2.3086081189325686E-8
MSigDB:WP_MARKERS_OF_KIDNEY_CELL_LINEAGE	2.3747811881085903E-8
MSigDB:WP_CONTROL_OF_IMMUNE_TOLERANCE_BY_VASOACTIVE_INTESTINAL_PEPTIDE	2.4314834617950994E-8
MSigDB:IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP	2.500753256824205E-8
MSigDB:ABE_VEGFA_TARGETS	2.6098702798734525E-8
MSigDB:AMIT_EGF_RESPONSE_20_MCF10A	2.7550928982825954E-8
MSigDB:ZHAN_MULTIPLE_MYELOMA_SPIKED	2.857833083868751E-8
MSigDB:GROSS_HIF1A_TARGETS_UP	2.9006843957801245E-8
MSigDB:WP_MALIGNANT_PLEURAL_MESOTHELIOMA	2.9741812510570462E-8
MSigDB:YOSHIMURA_MAPK8_TARGETS_UP	3.085126874790915E-8
MSigDB:WONG_ENDOMETRIAL_CANCER_LATE	3.1001960763773323E-8
MSigDB:GENTILE_UV_LOW_DOSE_DN	3.1532910382066155E-8
MSigDB:WP_ULCERATIVE_COLITIS_SIGNALING	3.229275506862936E-8
MSigDB:WP_MED_AND_PSEUDOACHONDROPLASIA_GENES	3.4188898929542066E-8
MSigDB:NGUYEN_NOTCH1_TARGETS_UP	3.561477295353228E-8
MSigDB:PASTURAL_RIZ1_TARGETS_UP	3.622575792372985E-8
MSigDB:WP_LACTO_SERIES_SPHINGOLIPID_METABOLISM	3.670305831343088E-8
MSigDB:LANDIS_ERBB2_BREAST_TUMORS_65_DN	3.7331752789159646E-8
MSigDB:MODY_HIPPOCAMPUS_NEONATAL	3.9063788247988486E-8
MSigDB:CHANDRAN_METASTASIS_DN	3.9848452344894994E-8
MSigDB:WP_GLUCOSE_METABOLISM_IN_TRIPLENEGATIVE_BREAST_CANCER_CELLS	4.044003079828471E-8
MSigDB:SCHAEFFER_PROSTATE_DEVELOPMENT_AND_CANCER_BOX2_UP	4.124672036843883E-8
MSigDB:REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS	4.1256756700535864E-8
MSigDB:WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION	4.1723904609319754E-8
MSigDB:RICKMAN_HEAD_AND_NECK_CANCER_A	4.240526408025793E-8
MSigDB:DOANE_RESPONSE_TO_ANDROGEN_UP	4.326459873336691E-8
MSigDB:MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_DN	4.370645905741262E-8
MSigDB:GENTLES_LEUKEMIC_STEM_CELL_UP	4.410296391950154E-8
MSigDB:MAINA_HYPOXIA_VHL_TARGETS_UP	4.5000194753172646E-8
MSigDB:VALK_AML_WITH_CEBPA	4.6086563256942155E-8
MSigDB:REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION	4.6745827254565464E-8
MSigDB:KARAKAS_TGFB1_SIGNALING	4.802181680256981E-8
MSigDB:LE_EGR2_TARGETS_DN	4.842207359475342E-8
MSigDB:TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_UP	4.8510508641814075E-8
MSigDB:RAMJAUN_APOPTOSIS_BY_TGFB1_VIA_SMAD4_UP	4.8537132131197504E-8
MSigDB:REACTOME_SHC_MEDIATED_CASCADE_FGFR1	4.9450347174302973E-8
MSigDB:KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	4.9802618031716226E-8
MSigDB:HALLMARK_APOPTOSIS	5.089561127443395E-8
MSigDB:FOSTER_TOLERANT_MACROPHAGE_UP	5.1422391034426295E-8
MSigDB:SESTO_RESPONSE_TO_UV_C7	5.253366072590635E-8
MSigDB:RIEGE_DELTANP63_DIRECT_TARGETS_UP	5.5180423529103334E-8
MSigDB:ITO_PTTG1_TARGETS_UP	5.5878177073452705E-8
MSigDB:REACTOME_SHC_MEDIATED_CASCADE_FGFR4	5.671155676916576E-8
MSigDB:VANLOO_SP3_TARGETS_UP	5.723061082989941E-8
MSigDB:DELACROIX_RAR_TARGETS_DN	5.890113191434996E-8
MSigDB:NIKOLSKY_BREAST_CANCER_1Q21_AMPLICON	6.145879572778595E-8
MSigDB:VERRECCHIA_RESPONSE_TO_TGFB1_C5	6.14862962625289E-8
MSigDB:LINDSTEDT_DENDRITIC_CELL_MATURATION_A	6.435033341755479E-8
MSigDB:ZHANG_BREAST_CANCER_PROGENITORS_DN	6.546052712784137E-8
MSigDB:RAGHAVACHARI_PLATELET_SPECIFIC_GENES	6.649577564670627E-8
MSigDB:BORCZUK_MALIGNANT_MESOTHELIOMA_DN	6.717047282449096E-8
MSigDB:THEILGAARD_NEUTROPHIL_AT_SKIN_WOUND_UP	7.018186936788504E-8
MSigDB:PID_SYNDECAN_3_PATHWAY	7.1280103460467E-8
MSigDB:PLASARI_TGFB1_TARGETS_1HR_DN	7.165238166418924E-8
MSigDB:PID_AVB3_OPN_PATHWAY	7.313543523253494E-8
MSigDB:IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR	7.426720919636743E-8
MSigDB:WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_DN	7.582032266637169E-8
MSigDB:REACTOME_INNATE_IMMUNE_SYSTEM	7.591523519340894E-8
MSigDB:VETTER_TARGETS_OF_PRKCA_AND_ETS1_DN	7.616858093179742E-8
MSigDB:KEGG_PENTOSE_PHOSPHATE_PATHWAY	8.075652918197301E-8
MSigDB:KOYAMA_SEMA3B_TARGETS_UP	8.10438699536843E-8
MSigDB:QI_HYPOXIA_TARGETS_OF_HIF1A_AND_FOXA2	8.143370691524061E-8
MSigDB:REACTOME_CIPROFLOXACIN_ADME	8.390041054613019E-8
MSigDB:RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_DN	8.461747002429852E-8
MSigDB:ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	8.654984787644727E-8
MSigDB:SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2	8.780508319014948E-8
MSigDB:TENEDINI_MEGAKARYOCYTE_MARKERS	8.912650881825657E-8
MSigDB:JIANG_HYPOXIA_NORMAL	9.083215698647348E-8
MSigDB:SHIN_B_CELL_LYMPHOMA_CLUSTER_9	9.179300693142788E-8
MSigDB:MCBRYAN_PUBERTAL_BREAST_5_6WK_UP	9.191808315511815E-8
MSigDB:GROSS_HYPOXIA_VIA_HIF1A_DN	9.412270015757195E-8
MSigDB:GHANDHI_DIRECT_IRRADIATION_UP	9.508656529553181E-8
MSigDB:MOOTHA_GLYCOGEN_METABOLISM	9.705994063835175E-8
MSigDB:GUILLAUMOND_KLF10_TARGETS_UP	9.757773248841729E-8
MSigDB:WP_SARSCOV2_ALTERING_ANGIOGENESIS_VIA_NRP1	9.768316479827585E-8
MSigDB:REACTOME_SHC_MEDIATED_CASCADE_FGFR3	9.877342491100225E-8
MSigDB:THEODOROU_MAMMARY_TUMORIGENESIS	1.055733808964247E-7
MSigDB:ZHANG_PROLIFERATING_VS_QUIESCENT	1.0643149998417963E-7
MSigDB:ZIRN_TRETINOIN_RESPONSE_UP	1.0795029108277311E-7
MSigDB:IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_DN	1.0872760505613667E-7
MSigDB:KEGG_PRIMARY_IMMUNODEFICIENCY	1.13077145419094E-7
MSigDB:REACTOME_GLUCONEOGENESIS	1.1699958734921088E-7
MSigDB:NEWMAN_ERCC6_TARGETS_DN	1.2103836632097163E-7
MSigDB:WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	1.2131660380327611E-7
MSigDB:ROESSLER_LIVER_CANCER_METASTASIS_UP	1.2159604753861992E-7
MSigDB:IYENGAR_RESPONSE_TO_ADIPOCYTE_FACTORS	1.2165233079093559E-7
MSigDB:JEPSEN_SMRT_TARGETS	1.2432418607578002E-7
MSigDB:SANA_TNF_SIGNALING_UP	1.2809447084960845E-7
MSigDB:KEGG_FOCAL_ADHESION	1.2944449415142524E-7
MSigDB:KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1.3236109003020222E-7
MSigDB:BIOCARTA_DC_PATHWAY	1.3244147433514808E-7
MSigDB:VALK_AML_CLUSTER_13	1.3472606782176997E-7
MSigDB:MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_UP	1.3620394841905776E-7
MSigDB:BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_DN	1.4512029546580076E-7
MSigDB:FONTAINE_FOLLICULAR_THYROID_ADENOMA_DN	1.4719763868693303E-7
MSigDB:HOFFMANN_IMMATURE_TO_MATURE_B_LYMPHOCYTE_UP	1.5555302477151781E-7
MSigDB:WP_NETRINUNC5B_SIGNALING_PATHWAY	1.573477082244025E-7
MSigDB:BIOCARTA_CTL_PATHWAY	1.5935758531456955E-7
MSigDB:HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_UP	1.6352945749751052E-7
MSigDB:WP_GLYCOLYSIS_IN_SENESCENCE	1.6581105800108907E-7
MSigDB:HARRIS_BRAIN_CANCER_PROGENITORS	1.6656488979138474E-7
MSigDB:WIERENGA_STAT5A_TARGETS_GROUP1	1.6679961468484307E-7
MSigDB:BASSO_CD40_SIGNALING_DN	1.7145070988791697E-7
MSigDB:LIM_MAMMARY_LUMINAL_PROGENITOR_UP	1.737753794704644E-7
MSigDB:HALMOS_CEBPA_TARGETS_UP	1.7450671665098883E-7
MSigDB:ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	1.7668050398233922E-7
MSigDB:ZWANG_CLASS_3_TRANSIENTLY_INDUCED_BY_EGF	1.801158340169355E-7
MSigDB:DARWICHE_SKIN_TUMOR_PROMOTER_UP	1.8112614397518177E-7
MSigDB:SHAFFER_IRF4_TARGETS_IN_PLASMA_CELL_VS_MATURE_B_LYMPHOCYTE	1.8162218419821353E-7
MSigDB:COWLING_MYCN_TARGETS	1.818577397697749E-7
MSigDB:MARSHALL_VIRAL_INFECTION_RESPONSE_UP	1.8219039464608695E-7
MSigDB:ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_UP	1.8688908087032757E-7
MSigDB:RUAN_RESPONSE_TO_TNF_UP	1.8887338629729152E-7
MSigDB:HOFFMAN_CLOCK_TARGETS_UP	1.8978896413895865E-7
MSigDB:LEE_LIVER_CANCER_ACOX1_UP	1.90403041418978E-7
MSigDB:AIYAR_COBRA1_TARGETS_UP	1.9790746727105316E-7
MSigDB:SNIJDERS_AMPLIFIED_IN_HEAD_AND_NECK_TUMORS	2.0769644985665894E-7
MSigDB:ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	2.0794621764357817E-7
MSigDB:RICKMAN_METASTASIS_DN	2.1074752505757166E-7
MSigDB:REACTOME_LAMININ_INTERACTIONS	2.2286779628111764E-7
MSigDB:MARZEC_IL2_SIGNALING_UP	2.257792644587362E-7
MSigDB:YAMANAKA_GLIOBLASTOMA_SURVIVAL_DN	2.2661834106766779E-7
MSigDB:OUYANG_PROSTATE_CANCER_MARKERS	2.2702503828924432E-7
MSigDB:SUZUKI_AMPLIFIED_IN_ORAL_CANCER	2.2893695698138318E-7
MSigDB:SMID_BREAST_CANCER_ERBB2_UP	2.3034159264942237E-7
MSigDB:REACTOME_INTEGRIN_SIGNALING	2.3305443959505528E-7
MSigDB:BIOCARTA_TOB1_PATHWAY	2.3389686367761593E-7
MSigDB:REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	2.3694605637747886E-7
MSigDB:PLASARI_TGFB1_TARGETS_10HR_DN	2.400952949723913E-7
MSigDB:GAVIN_FOXP3_TARGETS_CLUSTER_P3	2.427219268565128E-7
MSigDB:CUI_TCF21_TARGETS_DN	2.441796584087972E-7
MSigDB:LEE_LIVER_CANCER_MYC_TGFA_UP	2.4654516411239744E-7
MSigDB:ALFANO_MYC_TARGETS	2.4804549863530767E-7
MSigDB:NIKOLSKY_BREAST_CANCER_21Q22_AMPLICON	2.4854130464798057E-7
MSigDB:SHAFFER_IRF4_MULTIPLE_MYELOMA_PROGRAM	2.528630641870838E-7
MSigDB:BIOCARTA_EPHA4_PATHWAY	2.544604864750943E-7
MSigDB:SIMBULAN_UV_RESPONSE_NORMAL_UP	2.5719258271089965E-7
MSigDB:REACTOME_INTERLEUKIN_10_SIGNALING	2.6032620304792157E-7
MSigDB:BIOCARTA_STEM_PATHWAY	2.6046710302078664E-7
MSigDB:REACTOME_SIGNALING_BY_MET	2.621286123523779E-7
MSigDB:REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	2.624732713628473E-7
MSigDB:REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	2.665071897077777E-7
MSigDB:WP_PHOTODYNAMIC_THERAPYINDUCED_HIF1_SURVIVAL_SIGNALING	2.6699032652252785E-7
MSigDB:KEGG_GRAFT_VERSUS_HOST_DISEASE	2.7028433943130613E-7
MSigDB:LIANG_SILENCED_BY_METHYLATION_UP	2.7332565282283695E-7
MSigDB:CHIANG_LIVER_CANCER_SUBCLASS_POLYSOMY7_DN	2.772471104045072E-7
MSigDB:SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM5	2.8037953637194814E-7
MSigDB:YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_0	2.8295105406045464E-7
MSigDB:BIOCARTA_PLATELETAPP_PATHWAY	2.8358684238707086E-7
MSigDB:GERHOLD_RESPONSE_TO_TZD_DN	2.9324690690474306E-7
MSigDB:BURTON_ADIPOGENESIS_2	2.9853265261371936E-7
MSigDB:REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	3.0350626310514876E-7
MSigDB:REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	3.096760479015356E-7
MSigDB:ONO_AML1_TARGETS_DN	3.115502205518496E-7
MSigDB:REACTOME_INSULIN_RECEPTOR_SIGNALLING_CASCADE	3.1882469491595324E-7
MSigDB:GHANDHI_BYSTANDER_IRRADIATION_UP	3.2550600487378666E-7
MSigDB:SHAFFER_IRF4_TARGETS_IN_ACTIVATED_B_LYMPHOCYTE	3.3790257418465244E-7
MSigDB:BAKKER_FOXO3_TARGETS_UP	3.3945341176683414E-7
MSigDB:WANG_PROSTATE_CANCER_ANDROGEN_INDEPENDENT	3.455033714001567E-7
MSigDB:NGO_MALIGNANT_GLIOMA_1P_LOH	3.474103664506015E-7
MSigDB:STOSSI_RESPONSE_TO_ESTRADIOL	3.5346176265685756E-7
MSigDB:WP_AMPLIFICATION_AND_EXPANSION_OF_ONCOGENIC_PATHWAYS_AS_METASTATIC_TRAITS	3.715440656327662E-7
MSigDB:FLORIO_HUMAN_NEOCORTEX	3.8037814900448835E-7
MSigDB:REACTOME_IRS_MEDIATED_SIGNALLING	3.8452086219123877E-7
MSigDB:KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	3.8732344988331663E-7
MSigDB:NATSUME_RESPONSE_TO_INTERFERON_BETA_UP	3.928900036433783E-7
MSigDB:PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	4.0438506052700353E-7
MSigDB:UZONYI_RESPONSE_TO_LEUKOTRIENE_AND_THROMBIN	4.1139061017797816E-7
MSigDB:REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	4.116967376402773E-7
MSigDB:MIKKELSEN_MCV6_ICP_WITH_H3K4ME3_AND_H3K27ME3	4.226195099327796E-7
MSigDB:KIM_HYPOXIA	4.265811265233598E-7
MSigDB:PARK_APL_PATHOGENESIS_UP	4.36988813724064E-7
MSigDB:DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	4.4773065691863793E-7
MSigDB:VECCHI_GASTRIC_CANCER_EARLY_DN	4.5624241985414485E-7
MSigDB:NABA_BASEMENT_MEMBRANES	4.628713820629436E-7
MSigDB:KEGG_TYPE_I_DIABETES_MELLITUS	4.7026974853357705E-7
MSigDB:BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_UP	4.72002598895164E-7
MSigDB:FONTAINE_PAPILLARY_THYROID_CARCINOMA_DN	4.739501949453779E-7
MSigDB:DEBOSSCHER_NFKB_TARGETS_REPRESSED_BY_GLUCOCORTICOIDS	4.755264469377418E-7
MSigDB:REACTOME_TRANSPORT_OF_NUCLEOTIDE_SUGARS	4.797412694013497E-7
MSigDB:HOELZEL_NF1_TARGETS_UP	4.837932499995106E-7
MSigDB:WP_FOCAL_ADHESION	4.839944488885349E-7
MSigDB:WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY	4.860304710404837E-7
MSigDB:KIM_WT1_TARGETS_12HR_UP	4.929149791384704E-7
MSigDB:HALLMARK_MYOGENESIS	4.997327497596676E-7
MSigDB:RICKMAN_HEAD_AND_NECK_CANCER_B	5.040785030717257E-7
MSigDB:REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	5.064937854485953E-7
MSigDB:GROSS_HYPOXIA_VIA_ELK3_DN	5.074272153815248E-7
MSigDB:ABBUD_LIF_SIGNALING_1_DN	5.238386384535167E-7
MSigDB:LEE_AGING_CEREBELLUM_DN	5.413715448366323E-7
MSigDB:MAHAJAN_RESPONSE_TO_IL1A_DN	5.505598872842383E-7
MSigDB:BUFFA_HYPOXIA_METAGENE	5.766422629426395E-7
MSigDB:WP_EBOLA_VIRUS_INFECTION_IN_HOST	6.167916067721943E-7
MSigDB:REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R	6.277344517980542E-7
MSigDB:BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER	6.391433656104707E-7
MSigDB:LEE_LIVER_CANCER_CIPROFIBRATE_UP	6.406095146298762E-7
MSigDB:REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE	6.580016823994777E-7
MSigDB:REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION	6.588266878560864E-7
MSigDB:AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	6.611278025742148E-7
MSigDB:REACTOME_ANCHORING_FIBRIL_FORMATION	6.674902580008426E-7
MSigDB:SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1	6.840011605862066E-7
MSigDB:HUMMERICH_MALIGNANT_SKIN_TUMOR_UP	6.84596737723593E-7
MSigDB:SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_UP	7.41916948081318E-7
MSigDB:HOWLIN_CITED1_TARGETS_2_DN	7.492515174188682E-7
MSigDB:SCHLESINGER_METHYLATED_DE_NOVO_IN_CANCER	7.597284579281387E-7
MSigDB:KOKKINAKIS_METHIONINE_DEPRIVATION_96HR_UP	7.600111552111805E-7
MSigDB:CHEOK_RESPONSE_TO_HD_MTX_UP	7.781005451550892E-7
MSigDB:CASORELLI_APL_SECONDARY_VS_DE_NOVO_UP	7.79420010094576E-7
MSigDB:HELLER_SILENCED_BY_METHYLATION_UP	7.839314446439049E-7
MSigDB:LINDSTEDT_DENDRITIC_CELL_MATURATION_C	8.044309130464907E-7
MSigDB:KEGG_ALLOGRAFT_REJECTION	8.275278999589974E-7
MSigDB:LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_UP	8.35547342195484E-7
MSigDB:APPIERTO_RESPONSE_TO_FENRETINIDE_UP	8.433626318174623E-7
MSigDB:DURCHDEWALD_SKIN_CARCINOGENESIS_DN	8.570467194872508E-7
MSigDB:REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	8.848305425803764E-7
MSigDB:KUROZUMI_RESPONSE_TO_ONCOCYTIC_VIRUS	9.036828945238914E-7
MSigDB:KYNG_DNA_DAMAGE_BY_4NQO_OR_UV	9.323285135441563E-7
MSigDB:SCHRAETS_MLL_TARGETS_DN	9.504154796196504E-7
MSigDB:CAIRO_LIVER_DEVELOPMENT_UP	9.997490723610957E-7
MSigDB:GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	1.0437474036092703E-6
MSigDB:GRYDER_PAX3FOXO1_ENHANCERS_KO_DOWN	1.0538677980814923E-6
MSigDB:REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	1.0564169314071212E-6
MSigDB:WP_HAIR_FOLLICLE_DEVELOPMENT_ORGANOGENESIS_PART_2_OF_3	1.0972355288221566E-6
MSigDB:WP_HIF1A_AND_PPARG_REGULATION_OF_GLYCOLYSIS	1.1040062253017184E-6
MSigDB:AKL_HTLV1_INFECTION_DN	1.1091179694763768E-6
MSigDB:YU_MYC_TARGETS_DN	1.110266964353758E-6
MSigDB:AMIT_EGF_RESPONSE_240_MCF10A	1.1148156306271884E-6
MSigDB:SHIN_B_CELL_LYMPHOMA_CLUSTER_8	1.1274680060514564E-6
MSigDB:CHEOK_RESPONSE_TO_MERCAPTOPURINE_AND_LD_MTX_DN	1.1484474034888593E-6
MSigDB:SHAFFER_IRF4_TARGETS_IN_MYELOMA_VS_MATURE_B_LYMPHOCYTE	1.1612789836752404E-6
