	C-m	C-n	IG-n	IG-m	IG-m 44
RIMBP3C	9	0	0	16	9
UBE2L3	2466	3391	2738	1503	633
YDJC	115	1275	455	177	41
CCDC116	3	3	4	37	23
KB-1440D3.14	0	0	1	5	9
SDF2L1	87	823	497	656	84
MIR130B	0	9	2	0	0
MIR301B	0	0	0	0	0
KB-1440D3.13	1	5	2	12	7
PPIL2	564	1454	1275	485	345
YPEL1	5	17	6	2	19
RN7SL280P	0	0	0	0	1
MAPK1	2435	4612	3919	824	1068
RNA5SP493	0	0	0	0	1
KB-1027C11.4	3	0	1	0	1
PPM1F	1062	1164	1566	1406	588
LL22NC03-86G7.1	144	225	219	227	190
TOP3B	4	8	5	13	19
PRAMENP	0	0	0	0	1
IGLVI-70	0	0	0	0	0
IGLV4-69	0	0	0	0	0
IGLVI-68	0	0	0	0	0
LL22NC03-23C6.13	0	0	0	0	0
LL22NC03-23C6.12	0	0	0	0	0
IGLV10-67	0	0	0	0	0
LL22NC03-23C6.15	0	0	0	0	0
IGLVIV-66-1	0	0	0	0	0
IGLVV-66	0	0	0	0	0
IGLVIV-65	0	0	0	0	2
IGLVIV-64	0	0	0	0	2
IGLVI-63	0	0	0	0	0
IGLV1-62	0	0	0	0	0
LL22NC03-88E1.18	0	0	0	0	0
IGLV8-61	0	0	0	0	1
LL22NC03-88E1.17	0	0	0	0	0
ABHD17AP5	0	5	1	0	0
LL22NC03-30E12.10	0	0	0	0	0
LL22NC03-30E12.11	0	0	0	0	0
IGLV4-60	0	1	0	0	0
LL22NC03-30E12.13	0	0	0	0	1
SOCS2P2	0	0	0	0	0
IGLVIV-59	2	0	0	0	0
IGLVV-58	0	0	0	0	0
BMP6P1	0	0	0	0	0
IGLV6-57	0	1	0	0	1
IGLVI-56	0	0	0	0	0
IGLV11-55	0	1	0	0	1
IGLV10-54	0	1	0	0	0
IGLVIV-53	0	0	0	0	0
TOP3BP1	0	0	0	0	2
LL22NC03-123E1.5	0	0	0	0	0
VPREB1	0	2	0	0	0
CH17-264L24.1	77	24	44	31	51
LL22NC03-2H8.5	91	10	17	46	45
LL22NC03-2H8.4	20	9	7	9	41
LL22NC03-80A10.6	52	79	57	40	28
BMS1P20	20	21	14	16	23
IGLV5-52	4	4	2	0	1
IGLV1-51	8	4	0	15	10
IGLV1-50	0	1	0	0	4
LL22NC03-80A10.11	0	0	1	0	1
IGLV9-49	0	0	0	0	1
LL22NC03-75A1.9	0	0	0	0	0
IGLV5-48	0	2	0	3	4
IGLV1-47	2	0	0	21	12
LL22NC03-22A12.9	0	0	0	0	0
IGLV7-46	5	1	0	7	2
LL22NC03-22A12.12	1	0	0	0	1
IGLV5-45	0	1	0	1	6
IGLV1-44	7	0	0	23	15
IGLV7-43	1	0	0	4	3
IGLVI-42	0	0	0	0	0
IGLVVII-41-1	0	0	0	0	0
IGLV1-41	0	1	0	0	0
IGLV1-40	1	0	0	0	2
ASH2LP1	0	0	0	3	2
IGLVI-38	0	0	0	0	2
IGLV5-37	0	0	0	0	3
IGLV1-36	0	0	0	0	0
KB-288A10.17	0	0	0	0	5
IGLV7-35	0	0	0	1	0
KB-288A10.19	0	0	0	0	0
ZNF280B	79	82	68	78	234
ZNF280A	0	3	0	2	4
PRAME	35	121	3	9	5
LL22NC03-63E9.3	0	0	0	0	1
IGLV2-34	0	1	0	0	0
IGLV2-33	0	0	0	0	0
IGLV3-32	0	0	0	0	1
IGLV3-31	0	0	0	0	0
IGLV3-30	0	0	0	0	0
BCRP4	1	0	0	0	2
POM121L1P	0	1	0	0	2
GGTLC2	5	6	0	10	2
IGLV3-29	3	0	0	0	3
IGLV2-28	0	0	0	0	0
IGLV3-27	0	1	0	0	1
IGLV3-26	0	0	0	0	0
IGLVVI-25-1	0	0	0	0	0
IGLV3-25	0	0	0	0	2
LL22NC03-102D1.16	0	0	0	0	0
LL22NC03-102D1.18	4	1	0	0	0
IGLV3-24	0	0	0	0	0
IGLV2-23	0	0	0	0	1
IGLVVI-22-1	0	0	0	0	0
IGLV3-22	0	1	0	0	0
IGLV3-21	0	2	0	0	1
IGLVI-20	0	0	0	0	0
IGLV3-19	0	1	0	0	1
LL22NC03-48A11.14	0	0	0	0	0
IGLV2-18	0	1	0	0	0
IGLV3-17	0	0	0	0	0
IGLV3-16	0	0	0	0	0
IGLV3-15	0	0	0	0	0
IGLV2-14	0	0	0	0	0
IGLV3-13	0	0	0	0	0
IGLV3-12	0	0	0	0	0
LL22NC03-24A12.8	0	0	0	0	0
LL22NC03-24A12.9	0	0	0	0	0
IGLV2-11	0	1	0	0	0
LL22NC03-84E4.13	0	0	0	0	0
IGLV3-10	0	1	0	0	0
LL22NC03-84E4.11	0	0	0	0	0
IGLV3-9	0	0	0	0	0
IGLV2-8	0	0	0	0	0
LL22NC03-84E4.8	0	0	0	0	0
IGLV3-7	0	0	0	0	1
IGLV3-6	0	0	0	0	0
IGLV2-5	0	0	0	0	1
IGLV3-4	0	0	0	0	0
IGLV4-3	0	0	0	0	0
IGLV3-2	0	0	0	0	0
IGLV3-1	0	0	0	0	0
MIR5571	0	0	0	0	3
IGLL5	0	0	1	1	1
IGLJ1	0	0	0	0	0
IGLC1	0	0	0	0	0
IGLJ2	0	0	0	0	0
IGLC2	1	0	0	0	7
IGLJ3	0	0	0	0	1
IGLC3	0	0	0	1	0
IGLJ4	0	0	0	0	0
IGLC4	0	0	0	0	0
IGLJ5	0	0	0	0	1
IGLC5	0	0	0	0	0
IGLJ6	0	0	0	0	0
IGLC6	0	0	0	0	0
IGLJ7	0	1	0	0	0
IGLC7	0	0	0	0	0
AP000361.2	0	0	0	0	0
AP000362.1	0	0	0	0	0
RSPH14	6	15	3	10	5
GNAZ	185	14	48	586	242
RAB36	44	434	181	12	15
BCR	5005	2840	1675	1783	766
BCRP8	5	0	0	2	4
RN7SL263P	4	1	0	0	6
FBXW4P1	34	16	13	53	39
AP000343.1	0	0	0	0	0
AP000343.2	2	0	0	0	2
CES5AP1	1	0	0	3	7
ZDHHC8P1	23	524	9	67	46
KB-1269D1.8	2	61	1	1	4
AP000344.3	6	0	0	0	0
AP000344.4	5	0	0	6	0
AP000345.1	1	0	0	0	1
AP000345.4	0	0	0	0	0
PCAT14	0	0	0	0	1
AP000345.2	0	0	0	0	0
IGLL1	0	1	0	0	0
KB-208E9.1	0	0	0	3	2
KB-1572G7.5	0	0	0	0	0
DRICH1	0	4	0	3	4
KB-1572G7.4	0	0	0	0	0
KB-1572G7.3	0	0	0	0	0
GUSBP11	1	1	0	0	0
AP000347.4	2	2	2	2	1
ASLP1	4	8	1	0	4
KB-1572G7.2	41	156	132	32	30
AP000347.2	8	23	16	19	7
RGL4	13	40	29	11	6
ZNF70	23	126	161	24	47
VPREB3	1	2	2	26	12
C22orf15	0	8	11	0	5
CHCHD10	799	443	348	1970	206
MMP11	1139	100	19	1025	483
AP000349.2	0	0	0	0	0
SMARCB1	1318	2850	1662	1536	423
DERL3	50	72	75	220	86
KB-1125A3.11	3	0	0	11	1
SLC2A11	1766	663	249	618	378
AP000350.10	1	1	0	0	0
KB-1125A3.12	17	19	0	15	12
RN7SL268P	58	39	11	4	13
MIF	19	22	2	40	15
MIF-AS1	7	16	1	4	34
AP000350.5	18	14	0	4	110
AP000350.6	0	0	1	0	1
AP000350.7	0	0	0	0	1
AP000350.8	0	0	0	0	0
GSTT2B	84	50	223	1377	404
KB-1125A3.10	7	0	3	13	17
DDTL	60	38	53	113	127
KB-226F1.2	32	7	13	280	140
DDT	135	457	318	329	51
AP000351.3	1	1	1	32	14
GSTT2	12	9	25	94	42
AP000351.4	0	0	0	0	0
GSTTP1	0	0	0	0	0
AP000351.13	0	0	0	0	0
CABIN1	720	1302	1106	512	272
KB-318B8.7	0	8	8	0	7
SUSD2	12	7	51	135	131
GGT5	53	3	693	834	248
GGTLC4P	2	0	0	0	1
POM121L9P	2	1	0	1	9
BCRP1	0	1	0	0	0
AP000354.2	2	0	0	1	1
SPECC1L	345	672	677	300	144
SPECC1L-ADORA2A	0	0	0	0	0
ADORA2A	2	1	0	2	3
ADORA2A-AS1	0	1	1	17	16
UPB1	1	2	0	2	5
AP000355.2	0	0	0	0	1
GUCD1	1529	2657	1840	1955	1178
SNRPD3	1501	2608	1793	3127	882
GGT1	722	1303	60	67	57
LRRC75B	64	186	33	33	5
AP000356.2	0	0	0	3	0
BCRP3	135	59	26	237	68
POM121L10P	0	0	0	0	0
ARL5AP4	0	0	0	0	0
AP000357.4	1	0	1	0	3
LL22NC03-N95F10.1	2	0	4	0	0
AP000358.5	0	0	0	0	0
CRIP1P4	0	0	0	0	0
PIWIL3	0	4	0	0	4
SGSM1	11	8	1	0	5
TMEM211	0	0	0	0	0
KIAA1671	1011	1569	632	512	688
CTA-243E7.4	1	0	0	7	3
CTA-243E7.3	0	0	0	0	4
CTA-243E7.2	0	2	0	0	4
CTA-243E7.1	7	2	3	2	9
CTA-221G9.12	10	1	1	80	18
CTA-221G9.10	0	0	0	0	1
CRYBB3	23	3	1	6	6
CTA-221G9.7	2	0	0	2	1
CRYBB2	6	4	0	23	4
CTA-221G9.11	0	0	0	0	0
RP3-462D8.2	0	0	0	0	0
IGLL3P	0	1	0	0	0
CTA-246H3.8	2	2	0	0	0
CTA-246H3.11	2	6	2	1	5
LRP5L	60	170	55	44	31
CTA-246H3.12	0	0	0	0	0
CTA-390C10.9	0	0	0	0	0
IGLVIVOR22-1	0	0	0	0	0
CRYBB2P1	270	305	251	273	116
MIR6817	0	1	0	0	0
CTA-390C10.10	19	25	23	44	25
CTA-407F11.8	1	0	0	0	4
GRK3	99	91	48	92	98
CTA-407F11.7	0	0	0	0	0
YES1P1	0	1	0	3	0
RNA5SP494	0	0	0	0	0
MYO18B	39	12	3	32	50
CTA-407F11.9	0	0	0	0	0
CTA-125H2.2	0	0	0	0	0
CTA-125H2.1	0	0	0	0	0
RN7SKP169	0	0	0	0	0
CTA-125H2.3	0	0	0	0	0
CTA-796E4.3	0	0	0	0	0
CTA-796E4.4	0	0	0	0	0
SEZ6L	3	4	1	0	3
RP11-259P1.1	0	0	0	0	0
RNA5SP495	0	0	0	2	0
CTB-1048E9.7	0	0	0	0	3
ASPHD2	241	231	85	48	44
HPS4	458	1297	675	213	215
SRRD	307	586	343	173	101
TFIP11	540	941	637	959	1117
CTA-445C9.14	66	42	50	62	66
TPST2	213	632	287	160	97
MIR548J	0	0	0	0	0
HMGB1P10	6	26	26	1	8
CRYBB1	1	1	2	0	3
CRYBA4	0	2	0	0	1
ISCA2P1	0	1	0	0	3
MIAT	73	8	22	258	539
MIAT_exon1	0	0	0	0	0
CTA-373H7.7	1	0	2	2	1
MIAT_exon5_1	0	0	0	0	0
MIAT_exon5_2	0	0	0	0	0
MIATNB	42	83	46	55	25
MIAT_exon5_3	0	0	0	0	0
LINC01422	10	3	0	1	6
RP1-40G4P.1	6	0	1	1	2
CTA-992D9.11	8	0	0	2	17
RNU6-1066P	0	0	0	0	0
CTA-992D9.10	0	0	0	0	0
CTA-992D9.9	0	0	0	0	0
CTA-992D9.6	0	0	0	0	0
CTA-992D9.8	2	1	0	0	4
CTA-992D9.7	0	1	0	0	0
CTA-503F6.2	0	0	0	0	1
RP5-1172A22.1	0	39	101	13	14
CTA-929C8.5	0	0	0	0	0
CTA-929C8.7	0	0	0	0	0
CTA-929C8.6	1	0	0	0	0
CTA-929C8.8	0	0	0	0	2
RP1-205F14P.1	0	0	2	0	0
RP11-46E17.6	0	0	0	0	0
RP1-231P7P.1	1	0	0	0	0
RP1-213J1P__B.1	0	0	0	0	3
RP1-213J1P__B.2	0	0	0	0	0
RP11-375H17.1	0	0	0	0	0
MN1	128	303	413	86	98
PITPNB	1361	2189	1656	914	556
TTC28-AS1	87	139	155	179	72
TTC28-AS1_1	0	0	0	0	0
MIR3199-1	0	0	0	0	0
MIR3199-2	0	0	0	0	0
TTC28-AS1_2	0	0	0	0	0
TTC28	353	471	381	117	174
TTC28-AS1_3	0	0	0	0	0
TTC28-AS1_4	0	0	0	0	0
RN7SL757P	0	0	0	0	0
MIR5739	0	0	0	0	0
RN7SL162P	0	0	0	0	1
CHEK2	64	260	273	67	48
HSCB	107	291	224	244	88
CCDC117	362	637	719	266	217
XBP1	1188	2303	1751	1459	753
CTA-292E10.6	14	8	6	33	71
CTA-292E10.8	4	0	0	5	5
CTA-292E10.7	0	0	0	0	1
ZNRF3	431	926	517	134	180
ZNRF3-IT1	1	0	0	0	0
ZNRF3-AS1	13	8	8	4	15
C22orf31	0	0	0	11	3
KREMEN1	28	362	175	351	254
CTA-747E2.10	0	0	1	0	0
RNU6-810P	0	0	0	0	0
RNU6-1219P	0	0	0	0	0
EMID1	17	6	1	1661	475
RHBDD3	279	715	469	1312	332
CTA-984G1.5	13	17	19	15	11
EWSR1	2707	8932	6257	4022	1735
GAS2L1	68	1722	1162	184	53
RASL10A	8	7	0	9	4
AC002059.10	2	1	0	3	6
AP1B1	1815	5500	2841	1650	809
MIR3653	0	1	0	0	0
SNORD125	0	0	0	0	0
AC000041.8	0	0	0	0	0
RFPL4AP6	0	0	0	0	1
RFPL1S	1	0	2	0	6
AC000041.10	2	1	0	9	2
RFPL1	5	1	0	393	176
AC000035.3	0	0	0	0	0
NEFH	431	76	113	1607	657
THOC5	406	1563	894	325	143
CTA-256D12.11	0	0	0	3	0
NIPSNAP1	2220	2776	1418	585	274
NF2	1290	4051	1799	736	342
RPEP4	3	1	0	0	0
RP1-76B20.11	0	0	0	0	0
RP1-76B20.12	0	1	0	2	1
CABP7	3	10	1	2	5
ZMAT5	117	276	206	303	82
UQCR10	1788	1246	991	4982	874
ASCC2	666	2007	1362	770	250
MTMR3	85	157	115	52	47
RNU6-331P	0	0	0	0	0
RP3-394A18.1	53	113	35	0	59
MIR6818	0	0	0	0	0
HORMAD2-AS1	0	7	0	0	4
CNN2P1	3	12	1	0	3
HORMAD2	2	3	2	0	3
CTA-85E5.7	0	0	0	0	0
CTA-85E5.6	0	0	0	0	0
RP3-438O4.4	2	0	0	0	12
RP1-102K2.6	8	8	2	2	33
LIF	655	5149	2538	650	1159
RP1-102K2.8	49	99	49	93	69
OSM	0	1	0	0	17
RP1-102K2.9	15	9	2	5	17
GATSL3	43	35	17	8	7
RP1-130H16.18	0	1	0	0	0
TBC1D10A	259	456	252	538	132
SF3A1	1719	4534	3192	970	691
CCDC157	67	189	98	180	57
RNF215	215	634	548	740	155
SEC14L2	130	749	648	146	88
RP4-539M6.19	0	0	1	0	0
RP4-539M6.20	4	6	3	2	5
RNU6-564P	0	2	0	0	1
RP4-539M6.21	2	2	0	5	4
MTFP1	25	155	56	70	30
RP4-539M6.22	2	1	0	2	2
RP4-539M6.18	0	0	0	0	2
SEC14L3	0	1	0	0	4
RP4-539M6.14	1	1	0	0	0
SDC4P	0	0	0	0	0
SEC14L4	4	2	0	0	2
SEC14L6	564	451	18	3	8
SIRPAP1	22	67	6	0	6
GAL3ST1	34	239	3	47	13
PES1	1109	3350	1862	2197	559
RP1-56J10.8	2	0	0	0	2
TCN2	435	521	588	627	241
SLC35E4	48	318	162	102	60
DUSP18	24	179	101	30	14
CTA-963H5.5	7	11	13	9	2
OSBP2	50	130	61	153	133
MIR3200	0	0	0	0	0
EIF4HP2	2	0	7	13	4
MORC2-AS1	1	0	0	0	4
MORC2	775	1216	1075	667	375
TUG1	3483	3054	2208	1562	1727
TUG1_1	71	84	76	3	58
TUG1_2	0	0	0	0	0
TUG1_3	0	0	0	0	0
TUG1_4	0	0	0	0	0
RP3-430N8.11	0	0	0	0	0
RP3-430N8.10	0	0	0	0	0
RP3-412A9.17	4	2	1	0	9
RN7SL633P	0	0	0	0	0
SMTN	470	5350	1555	828	248
RP3-412A9.16	9	18	9	63	30
SELM	99	688	529	2407	343
RP3-412A9.12	0	0	0	0	2
INPP5J	18	164	44	38	16
PLA2G3	3	1	0	1	6
RP3-412A9.15	0	0	0	0	0
MIR3928	0	0	0	0	0
RNF185	1388	1614	876	798	688
RNF185-AS1	0	0	0	0	0
LIMK2	2448	1824	2116	3797	2798
RNU6-1128P	0	0	0	2	1
PIK3IP1	332	354	222	82	70
PIK3IP1-AS1	1	5	5	9	5
RNA5SP496	0	0	0	0	1
PATZ1	404	985	499	207	151
LINC01521	45	64	77	47	38
RNU6-338P	0	0	0	0	0
DRG1	1099	1443	1173	1892	740
EIF4ENIF1	463	910	587	472	350
RP11-247I13.11	1	0	1	0	2
RNU6-28P	0	0	0	0	0
SFI1	178	753	561	185	125
H2AFZP6	0	1	0	0	0
RP11-247I13.6	0	0	0	0	0
RP11-247I13.3	0	0	0	2	0
PISD	671	2659	1208	431	211
PRR14L	632	1276	964	218	366
DEPDC5	216	479	365	134	122
RN7SL20P	0	0	0	0	0
CTA-440B3.1	0	0	0	0	0
RNU6-201P	0	0	0	0	0
RP1-180M12.1	0	0	0	0	0
C22orf24	4	7	4	25	11
YWHAH	1918	6735	4758	1339	613
CTA-342B11.1	0	0	0	0	0
CTA-342B11.2	0	0	0	0	2
RN7SL305P	0	0	0	0	0
SC22CB-1E7.1	9	14	21	19	1
SLC5A1	0	0	0	0	6
AP1B1P1	0	0	0	0	0
RP1-127L4.10	0	1	0	0	2
AP1B1P2	0	0	0	0	0
RP1-127L4.7	0	0	0	0	8
C22orf42	0	1	0	0	1
RP1-90G24.8	0	0	0	0	0
RFPL3-AS1_1	0	0	0	1	0
RFPL2	3	2	0	482	233
AL008723.1	0	0	0	0	1
IGLCOR22-1	0	0	0	4	0
RP1-90G24.10	0	0	0	0	0
SLC5A4	2	7	0	0	4
CPSF1P1	1	2	0	0	2
RP1-90G24.6	0	0	0	0	0
RP1-90G24.11	0	0	0	0	0
RP1-149A16.12	1	0	0	2	0
RFPL3	0	1	0	0	1
IGLCOR22-2	0	0	0	0	0
RFPL3S	1	0	2	7	3
RFPL3-AS1_2	0	0	0	0	0
RP1-149A16.3	1	2	2	0	7
IGLVIVOR22-2	0	2	0	0	0
RP1-149A16.17	0	1	0	0	2
RP1-149A16.16	1	2	0	3	1
RTCB	1669	3047	1971	2469	933
BPIFC	2	2	0	2	4
FBXO7	1660	2543	1825	1137	731
SYN3	0	1	0	0	13
LL22NC03-104C7.1	0	0	0	0	1
RNA5SP497	0	0	0	0	0
LL22NC01-116C6.1	0	0	0	0	0
TIMP3	1219	81	31	792	718
CTA-415G2.2	0	0	0	0	0
RP1-302D9.1	0	0	0	0	0
RP1-302D9.2	0	0	0	0	0
RP1-302D9.5	0	0	0	0	0
LARGE1	1665	562	281	761	550
RP1-302D9.3	1	0	1	0	0
SC22CB-1D7.1	1	0	0	0	1
MIR4764	0	0	0	0	0
LARGE-IT1	0	0	0	0	5
LARGE-AS1	4	0	0	1	23
LL22NC03-32F9.1	10	0	3	8	15
LL22NC03-86D4.1	0	0	0	0	0
LL22NC03-13G6.2	0	0	0	0	0
RP1-101G11.2	0	0	1	0	0
RP1-101G11.3	0	0	0	0	0
RP1-288L1.5	0	0	0	0	0
RP1-288L1.4	0	0	0	0	0
ISX-AS1	0	1	0	0	1
ISX	1	1	0	0	3
LINC01399	0	0	0	0	1
CTA-714B7.7	1	0	0	0	0
RP3-323A16.1	42	25	1	48	26
CTA-714B7.4	0	0	0	0	0
COX7BP1	0	0	0	0	0
RNU7-167P	1	0	0	0	2
HMGXB4	370	1066	865	98	152
RP3-510H16.3	8	4	0	5	18
TOM1	2618	979	635	2827	613
MIR3909	5	2	1	0	0
MIR6069	1	1	1	1	1
CTA-286B10.7	0	0	0	0	0
CTA-286B10.8	0	0	0	3	3
HMOX1	3885	5866	1395	717	596
MCM5	345	3881	2287	174	99
RP4-569D19.5	0	0	0	0	1
RP4-569D19.8	0	0	0	0	0
RASD2	151	40	7	141	102
MB	7	103	0	305	69
CITF22-62D4.1	0	0	0	1	4
APOL6	792	594	593	77	1089
RP1-41P2.7	0	0	0	0	4
MRPS16P3	0	0	0	0	1
APOL5	0	1	0	0	1
RBFOX2	3424	3305	4083	1483	1900
NDUFA9P1	1	0	0	1	5
RP1-78B3.1	0	2	1	1	8
CTA-212A2.4	0	0	0	0	5
CTA-212A2.3	0	1	0	6	14
CTA-212A2.2	0	0	0	1	0
CTA-212A2.1	2	2	0	0	3
APOL3	59	53	87	28	90
MTCO1P20	0	0	0	0	0
MTCO2P20	0	0	0	0	2
MTATP6P20	0	0	0	0	2
MTCO3P20	1	0	0	0	0
Z95114.7	0	0	0	0	1
MTND1P10	0	0	0	0	5
APOL4	10	2	0	1	20
APOL2	2792	1999	1634	1356	1756
APOL1	1615	2082	1035	1874	2742
MYH9	29363	110167	53133	7629	9547
MIR6819	0	7	1	1	0
RP4-633O19__A.1	10	3	2	3	13
RPS15AP38	1	5	1	5	4
RP5-1119A7.14	34	0	0	32	25
TXN2	1110	2050	1628	1748	445
FOXRED2	502	1114	963	213	206
EIF3D	2966	7024	3945	3612	1037
RP5-1119A7.11	2	0	0	1	4
RP5-1119A7.10	0	0	0	0	0
RP5-1119A7.17	0	0	0	0	2
CACNG2	1	2	0	2	0
RP1-293L6.1	0	0	0	0	0
IFT27	116	290	210	190	51
PVALB	173	0	0	402	85
CITF22-24E5.1	3	0	0	4	27
CTA-833B7.2	0	0	0	0	1
NCF4	3	3	0	0	2
CSF2RB	0	2	9	1	7
CSF2RBP1	0	1	0	0	0
LL22NC01-81G9.3	0	0	0	0	0
TEX33	0	1	0	0	4
TST	457	994	376	2092	279
MPST	190	2298	851	657	89
KCTD17	117	788	510	3820	951
RN7SKP214	0	0	0	3	7
TMPRSS6	0	3	5	111	178
RP5-1170K4.7	0	0	0	0	1
IL2RB	2	5	8	13	5
RP1-151B14.6	0	2	0	0	3
C1QTNF6	862	594	382	323	114
SSTR3	4	2	2	54	55
RP1-151B14.9	0	0	0	2	2
RAC2	398	1760	858	11	13
CYTH4	4	13	19	0	2
ELFN2	690	3115	520	39	62
RP1-63G5.7	20	17	2	3	0
RP1-63G5.8	0	0	0	0	0
MFNG	30	14	48	28	22
CARD10	803	2962	1898	324	156
RP5-1177I5.3	0	2	2	0	15
CDC42EP1	205	4447	2076	1032	474
LGALS2	1	10	10	2	5
GGA1	1009	1748	1016	1612	672
SH3BP1	4	372	362	27	19
Z83844.1	1	4	0	0	5
PDXP	201	507	683	730	199
RN7SL385P	2	0	0	0	3
LGALS1	765	24083	24892	4519	724
NOL12	19	81	139	139	29
RP1-37E16.12	0	0	0	0	0
TRIOBP	827	3159	3751	832	434
H1F0	1379	2059	1969	5391	2473
GCAT	403	341	279	690	132
GALR3	2	0	1	11	2
ANKRD54	205	808	631	291	107
MIR659	11	1	3	10	12
EIF3L	1434	4705	2745	925	1076
RP5-1014D13.2	27	27	32	54	74
RNU6-900P	0	0	0	0	0
MICALL1	816	3148	1240	519	485
RP5-1039K5.12	47	40	31	42	26
C22orf23	46	52	30	31	31
MIR6820	74	77	53	137	121
RP5-1039K5.17	0	0	0	0	0
POLR2F	0	0	0	0	1
SOX10	0	0	0	0	0
RP5-1039K5.16	0	0	0	0	0
RP5-1039K5.18	0	0	0	0	1
PICK1	402	1040	541	1091	283
RP5-1039K5.13	7	15	9	15	6
SLC16A8	13	22	25	70	36
BAIAP2L2	139	761	38	77	72
CTA-228A9.3	23	10	8	24	39
PLA2G6	151	285	109	66	89
CTA-228A9.4	7	11	7	11	22
MAFF	583	1182	265	215	153
TMEM184B	645	3954	2661	962	503
RP1-5O6.5	0	4	0	0	2
RN7SL704P	0	0	0	0	1
CSNK1E	1656	4794	2414	1106	461
RP3-449O17.1	139	11	12	39	102
RP1-5O6.4	0	0	0	0	50
RP3-434P1.6	3	0	0	7	1
KCNJ4	132	3	0	373	31
KDELR3	369	1221	1644	307	189
DDX17	6993	8881	7971	4613	4919
DMC1	2	84	74	98	116
RP1-199H16.6	2	0	0	5	4
FAM227A	119	93	38	22	41
CBY1	247	385	201	258	55
RP3-508I15.10	4	1	1	1	1
RP3-508I15.9	29	47	20	25	7
TOMM22	1078	1952	1345	1413	397
JOSD1	785	2731	1673	591	507
GTPBP1	425	1360	1283	569	656
PRDX3P1	3	1	7	0	7
RP3-508I15.18	0	0	0	0	0
SUN2	1785	4017	3715	2713	2437
RP3-508I15.19	2	11	14	0	10
RP3-508I15.20	0	6	2	5	5
RP3-508I15.14	1	11	11	2	10
RP3-508I15.21	4	24	29	20	17
RP3-508I15.22	1	1	4	1	3
DNAL4	58	257	197	75	20
NPTXR	259	335	133	77	63
CBX6	1804	3684	4972	2993	2015
CTA-150C2.13	3	2	1	0	4
APOBEC3A	2	11	0	0	1
APOBEC3B	9	451	226	4	6
APOBEC3B-AS1	0	0	0	0	0
APOBEC3C	555	1934	2054	194	152
APOBEC3D	23	34	40	27	33
APOBEC3F	64	92	110	29	105
APOBEC3G	23	62	120	8	105
CTA-150C2.20	0	0	0	0	0
RP4-742C19.12	0	0	0	0	0
APOBEC3H	1	5	0	1	3
CBX7	73	113	92	166	68
COX5BP7	0	0	0	0	0
RP4-742C19.13	2	18	4	24	14
FUNDC2P4	0	0	0	0	1
PDGFB	1123	1390	284	219	175
RP3-333H23.8	6	0	4	2	3
RPL3	10737	43127	27245	28551	6513
SNORD83B	12	51	27	18	4
SNORD83A	12	37	21	9	26
SNORD43	13	12	7	6	62
SYNGR1	82	199	69	102	32
RP3-333H23.9	0	0	0	0	0
TAB1	326	852	772	430	179
MGAT3	312	9	3	12	7
MGAT3-AS1	0	0	0	0	0
MIEF1	1520	1574	1222	509	515
ATF4	3110	8178	4438	5489	2691
RPS19BP1	704	1687	1256	3178	451
CACNA1I	3	7	1	13	20
ENTHD1	0	1	0	0	1
RP1-172B20.6	0	0	0	0	0
RN7SKP210	0	0	0	0	0
UQCRFS1P1	61	86	36	39	15
GRAP2	3	1	1	8	3
RP3-370M22.8	6	0	0	0	0
FAM83F	118	427	2	5	32
RP3-496C20.1	2	2	7	0	9
TNRC6B	1754	1036	815	427	931
RPL7P52	0	0	0	0	5
ADSL	1019	3013	1638	1446	718
SGSM3	699	1921	1234	2391	646
RP5-1042K10.10	1	0	0	0	1
MKL1	566	1805	964	745	406
RP5-1042K10.13	0	5	0	3	3
RP5-1042K10.12	0	1	0	0	2
RP4-591N18.2	4	1	0	0	14
COX6B1P3	0	0	0	0	0
RPL4P6	7	2	7	14	16
GAPDHP37	0	0	0	0	2
MCHR1	4	4	5	107	28
SLC25A17	254	624	545	274	148
RP3-408N23.4	0	2	0	0	0
JTBP1	0	0	0	0	0
MIR4766	0	1	0	0	1
ST13	6004	7285	5160	4826	2686
XPNPEP3	549	371	266	288	256
DNAJB7	41	33	68	38	40
RNU6-379P	0	0	0	0	1
RBX1	562	1344	1238	2068	393
RP11-12M9.3	5	6	10	15	1
RP11-12M9.4	1	1	1	8	2
EP300	1844	3410	2222	499	1358
RNU6-375P	1	0	2	0	2
RP1-85F18.6	0	3	1	0	3
EP300-AS1	1	19	8	1	0
LRRC37A14P	0	0	0	0	1
L3MBTL2	426	639	611	725	224
RP4-756G23.5	15	7	17	8	49
CHADL	34	23	20	36	14
RANGAP1	981	11480	7767	2036	577
MIR6889	0	0	2	0	0
ZC3H7B	1236	7743	6467	610	658
TEF	80	376	518	318	146
RNU6-495P	0	0	0	0	5
CTA-223H9.9	2	0	0	10	2
TOB2	680	1158	1025	365	275
PHF5A	244	636	517	181	64
ACO2	2305	2000	1627	1350	983
POLR3H	287	1578	1366	718	225
CSDC2	97	86	419	1531	472
PMM1	163	863	775	588	121
DESI1	885	1868	1526	426	312
XRCC6	4632	14224	10895	8493	3364
SNU13	786	2750	1986	2172	637
RNU6-476P	0	8	0	0	0
C22orf46	200	385	448	140	135
MEI1	7	17	6	13	33
HMGN2P10	0	0	0	0	0
RNU6ATAC22P	0	0	0	0	0
CCDC134	42	340	152	85	45
